Month,Energy,Energy (SD),Energy (SD.P),Acousticness,Acousticness (SD),Acousticness (SD.P),Instrumentalness,Instrumentalness (SD),Instrumentalness (SD.P),Danceability,Danceability (SD),Danceability (SD.P),Valence,Valence (SD),Valence (SD.P),tmax_degC,tmin_degC,days_with_air_frost,rain_mm,rain_mm (normalised),rain_mm (normalised) multiplied by 100,Sun Hours,Sun Hours  (Normalised and multiplied by 100) ,Sun Hours (Normalised),Listening Time(ms),Listening Time (Hours),Listening Time (Hours) Normalised,Listening Time (Hours) Normalised and multiplied by 100,Liveness,Speechiness
May-20,0.537223,0.240050636,0.239179306,0.352000457,0.338422969,0.33719457,0.512622999,0.381022029,0.379639004,0.603376,0.206362591,0.205613541,0.497893,0.303270627,0.302169822,21.1,9.1,0,2,0,0,308.6,100,1,40980694,11.38,0.009074812,0.907481186,0.178504,0.073392754
Jun-20,0.672002,0.193091703,0.187689561,0.193455,0.241327883,0.234665642,0.273143,0.359627262,0.360565031,0.687344,0.137629585,0.132467066,0.618663,0.238474547,0.229795125,22.5,12.6,0,54,0.370898716,37.08987161,174.9,52.11318052,0.521131805,46124635,12.81,0.040725985,4.072598495,0.175008,0.131625
Jul-20,0.40989465,0.283010588,0.252117828,0.493136721,0.396621767,0.35956976,0.475726363,0.385603017,0.366245098,0.541625952,0.223715397,0.222427853,0.377191905,0.276891923,0.26198018,23.8,13.4,0,35.2,0.236804565,23.68045649,171.2,50.78796562,0.507879656,114184871,31.70,0.458831341,45.88313413,0.144510476,0.066605714
Aug-20,0.315613061,0.244107219,0.233500324,0.654747167,0.368212809,0.380314933,0.607875508,0.361306798,0.368898092,0.463733245,0.233124441,0.222224513,0.332867282,0.274372333,0.277726463,25.6,15.6,0,58.2,0.40085592,40.08559201,161.8,47.42120344,0.474212034,104873975,29.13,0.401947764,40.19477645,0.14051847,0.058497361
Sep-20,0.42028954,0.271089668,0.293198617,0.555134796,0.389963283,0.405129041,0.557007374,0.377856485,0.375207251,0.508898465,0.210067563,0.214521501,0.384894629,0.283951657,0.279329481,21.6,11.2,0,20,0.128388017,12.83880171,168.9,49.96418338,0.499641834,105877010,29.40,0.40792386,40.79238601,0.159061893,0.062253453
Oct-20,0.34795028,0.266706442,0.28797272,0.668288736,0.372035686,0.396610132,0.584482346,0.371169771,0.36628267,0.498390795,0.21534044,0.194582871,0.360679079,0.269335053,0.248729031,15,8.8,0,142.2,1,100,51.6,7.951289398,0.079512894,56533223,15.70,0.104692342,10.46923417,0.148069456,0.07698159
Nov-20,0.342077844,0.240577632,0.248552546,0.67126694,0.343831913,0.36551191,0.578698285,0.385596943,0.379602348,0.507004587,0.177579981,0.192048649,0.377494037,0.268876199,0.298124155,12.7,6.2,2,50.2,0.343794579,34.37945792,44.6,5.444126074,0.054441261,63142333,17.53,0.14519699,14.51969898,0.133143578,0.049832569
Dec-20,0.324680482,0.236759302,0.24791471,0.709651748,0.324223139,0.333390371,0.638812702,0.355045953,0.370706961,0.473704937,0.193808467,0.173781326,0.352377715,0.275916192,0.271468065,8.5,3.5,7,72.4,0.5021398,50.21398003,36.5,2.542979943,0.025429799,202156759,56.15,1,100,0.160744147,0.050294922
Jan-21,0.40480058,0.245218417,0.244328329,0.586248768,0.375728102,0.374364294,0.629581579,0.35732891,0.356031886,0.536172464,0.222186226,0.22137974,0.467682609,0.311726591,0.310595093,7,1.3,12,91.6,0.639087019,63.90870185,29.4,0,0,39485847,10.97,0,0,0.157394928,0.051421739
Feb-21,0.385731813,0.26255385,0.26978884,0.58568812,0.359368918,0.369500505,0.476882798,0.404468936,0.408260041,0.5193996,0.219411753,0.242308726,0.426067028,0.305735187,0.242308726,9.1,3.1,7,32.4,0.216833096,21.68330956,57.9,10.20773639,0.102077364,79646238,22.12,0.246790615,24.67906153,0.1675268,0.0605724
Mar-21,0.539843922,0.226892128,0.227125891,0.369942127,0.343292961,0.336889332,0.525590139,0.366645114,0.351289888,0.635850909,0.162388257,0.157273101,0.505826234,0.267732759,0.274774537,12.1,4.1,1,24.6,0.161198288,16.11982882,91.4,22.20630372,0.222063037,104922183,29.14,0.402169101,40.21691014,0.163474805,0.064416104
Apr-21,0.487085807,0.262833728,0.212353771,0.536677368,0.337360384,0.284074076,0.309225228,0.380779764,0.402111373,0.644647592,0.165051203,0.182493099,0.59228272,0.268878761,0.269064285,13.1,2.9,5,7.2,0.037089872,3.708987161,202.6,62.03438395,0.62034384,72939977,20.26,0.205621957,20.56219566,0.164148442,0.06395949
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,100,,100,100,,,,100,,
